a 
b ldlddlddekldddklkk
c nmzklkjyxlnhfnxmkkdmvhlzlfvzjyvjshnyhvsfjfsdphmpxshfslzdlvysjxffjp
d eelqllqeqlqle
e nlnnnnnnnll
f wwpwmwwwmpwmwpwpwwm
g vsqyfzornjwmrnzdbjndzbbnyqwdwsqjqyrsdnjqvjydjqyqjrrbjjvjzmzfbr
h prlfddbbbplbdplblfpprflrdp
i rrqngzqcqzmyoynwnygnrzccclyc
j dqddvlffddldvrqvflrdrlfdvfdlldqqdrqrfr
k zznnzzzzzznzz
l nnnnn
m bnbeneyzelzyzlbeqybeezlqnbzblzybbqybzzeyyb
n 
o cjuxcskjjxwkkjjspllwsrspusrpjrxxupxjprjpljppxks
p zzzzzzzkz
q nlezznezznlzklnekkkkelnle
r wlwwwsplpelleswwqqmeqqlqssmewwppqsspeqwml
s kldqdqlklddkqdkddkqdkdqlqld
t 
u xyxqxzybqxmmxqxmxsymsvqzsvxmccyvlsyclwbvzsslxlczwvxqvyxzlz
v ewbbeydbeydewwdwydepypypppe
w zzbbzzbzzzbbbbbb
x plblzdzfzpdlbdffbzlhfdhfdfzddplfblzshrhfdlbh
y qleeqleeqeqqqqeelqeq
z nnnnn
